Tweet, 'The Prince of Wales and The Duchess of Cornwall meet Prime Minister @narendramodi in New Delhi. @ClarenceHouse https://t.co/zudltzEUUn',1
Reply, '@PMOIndia @narendramodi @ClarenceHouse Hope she reprimand #India nationally &amp; internationally on #smog\xe2\x80\xa6 https://t.co/7japZ03y5P',-1
Tweet," ""Just in: Hyundai Rotem has won a Rs. 1032.94 cr contract to supply 96 coaches (32 x 3) for #Ahmedabad Metro's 39 km\xe2\x80\xa6 https://t.co/3dENQpLTWv""",1
Reply, '@TheMetroRailGuy So #Hyundai #Rotem maintains its position as biggest supplier of Metro trains in #India #Rapidtransit.',1
Tweet, '@mayurvsk @pavangite3 \xe0\xa4\xb5\xe0\xa5\x87\xe0\xa4\xa1\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa5\x81\xe0\xa4\xa0\xe0\xa4\xb2\xe0\xa4\xbe ! \xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\x82\xe0\xa4\xaa\xe0\xa4\xb5\xe0\xa5\x87\xe0\xa4\xa1\xe0\xa4\xbe ! \xe0\xa4\xa4\xe0\xa5\x81\xe0\xa4\x9d\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\x95\xe0\xa4\x9a \xe0\xa4\xae\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa0\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa0\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\x9c \xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x9f\xe0\xa4\xa4\xe0\xa5\x8b\xe0\xa4\xaf . \xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa0\xe0\xa5\x80 \xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x95 \xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xa5 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xa4 \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa5\x80\xe0\xa4\xa4 .',1
Reply, '@kvishwesh2 @pavangite3 #Trump is working for #Americans\n\nUnlike #Feku of #India \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',1
Tweet," 'THRILLED to see inclusion of blind children in government schools, enabled by teacher training and computer tablets\xe2\x80\xa6 https://t.co/ca7SyaQDOH'",1
Reply," '@iKabirBedi @SightsaversIN @rnmohanty Commendable, congrats to the entire team of @SightsaversIN Mr Mohanty and Mr\xe2\x80\xa6 https://t.co/VbqJavucqs'",1
Tweet," ""#Gorkhas. #Nepal's gift, #India's pride. #GorkhaRifles #200years  https://t.co/duBxuytzHJ""",1
Reply," '@mesurendernegi But today, the #tripartiteAgreement on #Gurkhas/1947 between #Nepal,#India &amp; #UK must B terminated\xe2\x80\xa6 https://t.co/x7VwRWrz4w'",-1
